committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00650150,ELISSA SLOTKIN FOR CONGRESS,2018,Q2,201807159115675883,17,VTPZH9S30A6,1248657,PAC,POLITICAL ACTION COMMITTEE,C00468314,C00468314,"DEMOCRACY ENGINE, INC., PAC",DC,,,,,CREDIT CARD PROCESSING FEE,,,2018-04-12 00:00:00,0.16,,,,,,,,,,,,,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-07-20 01:31:01.679,,,,0.00,,,,,,,,,,,,H,"",P,F3,4071620181575981591,WASHINGTON,200011801,OTHER,,2018,SB,4071920181576401907,http://docquery.fec.gov/cgi-bin/fecimg/?201807159115675883,Operating Expenditures,,,,,,
C00650150,ELISSA SLOTKIN FOR CONGRESS,2018,Q1,201807309119331025,17,VTPZH9QXY16,1253436,PAC,POLITICAL ACTION COMMITTEE,C00441949,C00441949,JSTREETPAC,DC,,,,,CREDIT CARD PROCESSING FEE,,,2018-01-19 00:00:00,0.16,,,,,,,,,,,,,P2018,,PRIMARY,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-07-31 01:31:20.551,,,,0.00,,,,,,,,,,,,H,"",P,F3,4073020181577780675,WASHINGTON,200330106,OTHER,,2018,SB,4073020181577800893,http://docquery.fec.gov/cgi-bin/fecimg/?201807309119331025,Operating Expenditures,,,,,,
C00650150,ELISSA SLOTKIN FOR CONGRESS,2018,Q3,201811199133694829,17,VTPZH9TCC61,1291695,ORG,ORGANIZATION,,,ACTBLUE TECHNICAL SERVICES,MA,,,,,CREDIT CARD PROCESSING FEE,,,2018-09-17 00:00:00,0.37,,,,,,,,,,,,,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-11-21 02:37:24.296,,,,0.00,,,,,,,,,,,,H,"",P,F3,4111920181618124594,CAMBRIDGE,021385106,OTHER,,2018,SB,4112020181618255774,http://docquery.fec.gov/cgi-bin/fecimg/?201811199133694829,Operating Expenditures,,,,,,
C00650150,ELISSA SLOTKIN FOR CONGRESS,2018,12G,201811209133803031,17,VTPZH9V2161,1291752,PAC,POLITICAL ACTION COMMITTEE,C00468314,C00468314,"DEMOCRACY ENGINE, INC., PAC",DC,,,,,CREDIT CARD PROCESSING FEE,,,2018-10-17 00:00:00,0.62,,,,,,,,,,,,,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-11-21 02:37:59.892,,,,0.00,,,,,,,,,,,,H,"",P,F3,4112020181618191908,WASHINGTON,200011801,OTHER,,2018,SB,4112020181618277197,http://docquery.fec.gov/cgi-bin/fecimg/?201811209133803031,Operating Expenditures,,,,,,
C00650150,ELISSA SLOTKIN FOR CONGRESS,2018,Q2,201807159115675883,17,VTPZH9S30D0,1248657,PAC,POLITICAL ACTION COMMITTEE,C00468314,C00468314,"DEMOCRACY ENGINE, INC., PAC",DC,,,,,CREDIT CARD PROCESSING FEE,,,2018-04-26 00:00:00,0.68,,,,,,,,,,,,,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-07-20 01:30:43.799,,,,0.00,,,,,,,,,,,,H,"",P,F3,4071620181575981591,WASHINGTON,200011801,OTHER,,2018,SB,4071920181576401911,http://docquery.fec.gov/cgi-bin/fecimg/?201807159115675883,Operating Expenditures,,,,,,
C00650150,ELISSA SLOTKIN FOR CONGRESS,2018,Q2,201807159115675907,17,VTPZH9S61T6,1248657,PAC,POLITICAL ACTION COMMITTEE,C00441949,C00441949,JSTREETPAC,DC,,,,,CREDIT CARD PROCESSING FEE,,,2018-04-27 00:00:00,0.81,,,,,,,,,,,,,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-07-20 01:30:43.8,,,,0.00,,,,,,,,,,,,H,"",P,F3,4071620181575981591,WASHINGTON,200330106,OTHER,,2018,SB,4071920181576402053,http://docquery.fec.gov/cgi-bin/fecimg/?201807159115675907,Operating Expenditures,,,,,,
C00650150,ELISSA SLOTKIN FOR CONGRESS,2018,Q3,201811199133694828,17,VTPZH9T8ZA3,1291695,ORG,ORGANIZATION,,,ACTBLUE TECHNICAL SERVICES,MA,,,,,CREDIT CARD PROCESSING FEE,,,2018-09-04 00:00:00,0.88,,,,,,,,,,,,,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-11-21 02:37:24.296,,,,0.00,,,,,,,,,,,,H,"",P,F3,4111920181618124594,CAMBRIDGE,021385106,OTHER,,2018,SB,4112020181618255768,http://docquery.fec.gov/cgi-bin/fecimg/?201811199133694828,Operating Expenditures,,,,,,
C00650150,ELISSA SLOTKIN FOR CONGRESS,2018,30G,201901089143771734,17,VTPZH9VB0V6,1303492,ORG,ORGANIZATION,,,ACTBLUE TECHNICAL SERVICES,MA,,,,,CREDIT CARD PROCESSING FEE,,,2018-10-22 00:00:00,0.90,,,,,,,,,,,,,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2019-02-12 02:41:25.013,,,,0.00,,,,,,,,,,,,H,"",P,F3,4010820191633712508,CAMBRIDGE,021385106,OTHER,,2018,SB,4021120191638973167,http://docquery.fec.gov/cgi-bin/fecimg/?201901089143771734,Operating Expenditures,,,,,,
C00650150,ELISSA SLOTKIN FOR CONGRESS,2018,Q3,201811199133694864,17,VTPZH9TGCR6,1291695,PAC,POLITICAL ACTION COMMITTEE,C00468314,C00468314,"DEMOCRACY ENGINE, INC., PAC",DC,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CREDIT CARD PROCESSING FEE,,,2018-09-27 00:00:00,0.95,,,,,,,,,,,,,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-11-21 02:37:24.304,,,,0.00,,,,,,,,,,,,H,"",P,F3,4111920181618124594,WASHINGTON,200011801,CONTRIBUTIONS,,2018,SB,4112020181618255988,http://docquery.fec.gov/cgi-bin/fecimg/?201811199133694864,Operating Expenditures,,,,,,
C00650150,ELISSA SLOTKIN FOR CONGRESS,2018,Q2,201807159115675884,17,VTPZH9S30G4,1248657,PAC,POLITICAL ACTION COMMITTEE,C00468314,C00468314,"DEMOCRACY ENGINE, INC., PAC",DC,,,,,CREDIT CARD PROCESSING FEE,,,2018-05-03 00:00:00,0.96,,,,,,,,,,,,,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-07-20 01:31:53.925,,,,0.00,,,,,,,,,,,,H,"",P,F3,4071620181575981591,WASHINGTON,200011801,OTHER,,2018,SB,4071920181576401913,http://docquery.fec.gov/cgi-bin/fecimg/?201807159115675884,Operating Expenditures,,,,,,
